"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.01.2024","129.294","130.988","131.553","129.147","5,75M","-1,29%"
"07.01.2024","130.988","132.023","132.498","129.898","47,17M","-0,78%"
"31.12.2023","132.023","134.186","134.195","130.579","35,31M","-1,61%"
"24.12.2023","134.185","132.753","134.392","132.753","19,13M","1,08%"
"17.12.2023","132.753","130.202","133.035","130.198","46,28M","1,96%"
"10.12.2023","130.197","127.093","131.661","126.013","63,39M","2,44%"
"03.12.2023","127.094","128.183","128.183","125.562","54,32M","-0,85%"
"26.11.2023","128.185","125.517","128.185","124.840","68,76M","2,13%"
"19.11.2023","125.517","124.773","126.875","124.773","53,39M","0,60%"
"12.11.2023","124.773","120.561","125.431","119.878","64,70M","3,49%"
"05.11.2023","120.568","118.160","120.823","118.026","69,07M","2,04%"
"29.10.2023","118.160","113.303","118.502","112.098","49,92M","4,29%"
"22.10.2023","113.301","113.145","115.342","112.164","58,78M","0,13%"
"15.10.2023","113.155","115.760","116.917","112.533","58,09M","-2,25%"
"08.10.2023","115.754","114.169","117.099","113.448","41,66M","1,39%"
"01.10.2023","114.170","116.565","116.672","111.599","53,09M","-2,06%"
"24.09.2023","116.565","116.009","116.899","113.366","55,71M","0,48%"
"17.09.2023","116.009","118.759","119.616","115.855","54,09M","-2,31%"
"10.09.2023","118.758","115.316","119.780","115.316","59,44M","2,99%"
"03.09.2023","115.313","117.893","118.576","114.839","34,68M","-2,19%"
"27.08.2023","117.893","115.838","118.841","115.742","52,99M","1,77%"
"20.08.2023","115.837","115.404","118.136","114.067","49,58M","0,37%"
"13.08.2023","115.409","118.067","118.082","114.423","68,05M","-2,25%"
"06.08.2023","118.065","119.509","120.104","117.415","54,78M","-1,21%"
"30.07.2023","119.508","120.188","122.619","119.215","59,08M","-0,57%"
"23.07.2023","120.187","120.220","123.010","119.706","51,05M","-0,02%"
"16.07.2023","120.217","117.711","120.373","116.591","46,68M","2,13%"
"09.07.2023","117.711","118.897","119.739","115.704","45,88M","-1,00%"
"02.07.2023","118.898","118.092","120.200","117.096","47,97M","0,69%"
"25.06.2023","118.087","118.977","119.447","116.560","59,06M","-0,75%"
"18.06.2023","118.977","118.757","120.519","118.018","54,11M","0,18%"
"11.06.2023","118.758","117.022","119.686","116.363","68,90M","1,49%"
"04.06.2023","117.019","112.558","117.603","111.736","51,65M","3,96%"
"28.05.2023","112.558","110.906","113.070","108.193","62,58M","1,49%"
"21.05.2023","110.906","110.745","111.706","108.546","62,85M","0,15%"
"14.05.2023","110.745","108.469","111.211","108.085","72,24M","2,10%"
"07.05.2023","108.464","105.161","108.817","105.161","65,06M","3,15%"
"30.04.2023","105.148","104.431","105.306","101.063","55,24M","0,69%"
"23.04.2023","104.432","104.367","104.822","101.975","56,32M","0,06%"
"16.04.2023","104.367","106.279","106.830","103.087","46,55M","-1,80%"
"09.04.2023","106.279","100.822","108.277","100.819","67,90M","5,41%"
"02.04.2023","100.822","101.883","103.056","99.898","47,57M","-1,04%"
"26.03.2023","101.882","98.833","104.085","98.833","65,96M","3,09%"
"19.03.2023","98.829","101.982","102.328","96.997","60,15M","-3,09%"
"12.03.2023","101.982","103.608","104.153","100.692","73,33M","-1,58%"
"05.03.2023","103.618","103.865","106.724","103.170","79,89M","-0,24%"
"26.02.2023","103.866","105.807","106.794","103.105","72,94M","-1,83%"
"19.02.2023","105.798","109.174","109.174","105.360","31,04M","-3,09%"
"12.02.2023","109.177","108.074","110.437","107.267","60,42M","1,02%"
"05.02.2023","108.078","108.518","110.175","107.234","65,72M","-0,41%"
"29.01.2023","108.523","112.319","113.691","108.185","70,47M","-3,38%"
"22.01.2023","112.316","112.041","114.835","111.542","58,20M","0,25%"
"15.01.2023","112.041","110.908","113.306","108.753","72,04M","1,01%"
"08.01.2023","110.916","108.964","113.129","108.134","75,98M","1,79%"
"01.01.2023","108.964","109.734","109.734","103.852","65,19M","-0,70%"
"25.12.2022","109.735","109.699","111.178","107.418","40,96M","0,03%"
"18.12.2022","109.698","102.859","109.994","102.770","77,88M","6,65%"
"11.12.2022","102.856","107.518","107.561","101.632","91,93M","-4,34%"
"04.12.2022","107.520","111.922","112.150","106.906","65,17M","-3,94%"
"27.11.2022","111.924","108.977","113.761","108.378","77,09M","2,70%"
"20.11.2022","108.977","108.868","112.612","107.867","67,51M","0,10%"
"13.11.2022","108.870","112.256","114.322","107.245","75,32M","-3,01%"
"06.11.2022","112.253","118.148","118.240","108.516","101,06M","-5,00%"
"30.10.2022","118.155","114.533","120.039","112.113","71,45M","3,16%"
"23.10.2022","114.539","119.922","119.924","112.577","74,02M","-4,49%"
"16.10.2022","119.929","112.107","120.752","112.090","74,60M","7,01%"
"09.10.2022","112.072","116.377","116.841","111.631","52,25M","-3,70%"
"02.10.2022","116.375","110.048","118.382","110.048","78,75M","5,76%"
"25.09.2022","110.037","111.713","111.713","106.244","72,31M","-1,50%"
"18.09.2022","111.716","109.283","114.392","108.508","69,12M","2,23%"
"11.09.2022","109.280","112.307","114.160","108.489","66,42M","-2,69%"
"04.09.2022","112.300","110.868","112.671","108.619","49,73M","1,30%"
"28.08.2022","110.864","112.296","113.222","108.217","67,69M","-1,28%"
"21.08.2022","112.299","111.487","114.156","109.858","59,67M","0,72%"
"14.08.2022","111.496","112.767","114.375","111.067","66,51M","-1,12%"
"07.08.2022","112.764","106.473","112.764","106.473","71,85M","5,91%"
